"","Actb","Amacr","Calm1","Cox6b1","Cox7c","Dcx","Erh","Gapdh","Golph3","H3f3a","Hes1","Hes5","Map2","Mtmr12","Nefl","Nefm","Nes","Neurod1","Notch1","Pax6","Ppia","Rpl18","Sox1","Sox2","Sub1","Taf1","Taf2","Tars","Tbr1","Tubb3","Vim","Zfr"
"Ppia",-0.0481731389328807,0.0735359163318513,-0.0488435234044765,0.127242448058851,0.173720455609041,-0.250632103220859,0.14104478455925,0.243475749175773,0.00554029665326484,-0.0540618370336673,0.246065778930589,0.188409203589196,-0.223813315297809,-0.00884428034044667,0.030304712321043,0.0261620833330433,0.105105330131403,-0.241859574024423,0.178552337810811,0.195095734523563,0,0.0808668815945953,0.123372626347533,0.12503361237692,0.211495189017045,0.0168357401419863,-0.013771095619537,0.0337040750245879,-0.0393437407279534,-0.270112674616878,0.226597057038524,0.0496727582109156
"Rpl18",-0.198125987690356,-0.0189058084329388,-0.233627445470349,-0.0732964797623401,-0.0433675600927975,-0.150871725138735,0.107546239319082,0.0828210088701444,-0.0264750671780723,0.103607376509595,0.185789562658534,0.203026675177573,-0.188684202199477,-0.00586227228578293,-0.151706410742551,-0.0831845934339584,0.115253864020396,-0.0681025648025581,0.226922256060542,0.233905595504712,0.0808668815945953,0,0.115371124800708,0.156672697531374,0.0910968807815757,0.00892903169411246,0.0388466295001023,0.00574111114020748,-0.153221770439435,-0.333667138806624,0.255733472474835,-0.0684604077148545
"Sox1",-0.11665768492467,-0.0170243796244976,-0.220758971996565,-0.0536308781051378,0.0148466833999505,-0.139064296133072,0.0738504454434516,0.117668226005843,-0.00761677680402743,0.048100683847319,0.241288342460845,0.28586936160872,-0.0885342818753317,0.0252700385062187,-0.0523765751520655,-0.0427381009725907,0.118226056745195,-0.120864706235179,0.191591314263106,0.294031512594161,0.123372626347533,0.115371124800708,0,0.273549646500008,0.126157248493795,0.0381360603175828,0.0511091174082953,0.0203289428210481,-0.0661149123876651,-0.267186977114887,0.203955909588033,0.0404356726978666
"Sox2",-0.200420184744716,-0.0169237613234414,-0.319658157047973,-0.0622064336188241,-0.011097335921695,-0.265258649097166,0.188696507760658,0.176538947300332,0.0596373105985481,0.078480653252491,0.462244103412452,0.446330430265625,-0.170156496902621,0.0130259701854144,-0.109915860091491,-0.0911808397839605,0.291035136475995,-0.172228149669943,0.396165629636997,0.492906778198792,0.12503361237692,0.156672697531374,0.273549646500008,0,0.222127649171612,0.0989248776069717,0.0404619150649543,0.014347103807396,-0.078101155958744,-0.475087470544549,0.374334040204551,0.0822244531238058
"Sub1",-0.111400408959534,-0.00333956313329054,-0.150478310392607,0.0416332737955566,0.0827843673593231,-0.218365468472406,0.0666540447582768,0.168526079787967,0.0273758137974239,-0.0382406813817093,0.237006853652121,0.253642928087329,-0.127264003913995,0.0168458809932971,-0.0108166773578363,-0.0575107212052784,0.113823914480262,-0.199381947458761,0.1877265304412,0.223572123833622,0.211495189017045,0.0910968807815757,0.126157248493795,0.222127649171612,0,0.0157195684351294,0.00772869294356259,0.0323365272020495,0.0379745686020161,-0.330433868429608,0.157561712280807,0.0806728051192514
"Taf1",-0.0304719257131839,-0.0452017008492251,-0.0481396366098031,-0.029865221856368,-0.0033888407137221,0.0320093377731642,-0.0186311854549189,0.0343614737772918,0.011002890770627,0.00995865782064647,0.0362289396542306,0.0344687012125472,0.0166668290449508,0.00400222632500415,-0.0130268188135358,0.00219754669265542,0.0671338844262332,-0.00265081176895062,0.0435910873118494,0.0559190465761428,0.0168357401419863,0.00892903169411246,0.0381360603175828,0.0989248776069717,0.0157195684351294,0,0.0336875728757577,0.0174048144388202,0.00966568584596217,-0.047950341287832,0.0018086488161096,0.0106855126296234
"Taf2",-0.0347080901596593,-0.0223773915390377,-0.0308551309641472,-0.0206854558826721,-0.0103776947667239,0.0147464034291318,0.00771153079206256,-0.010132749782135,0.0375601514013788,-0.0380409391761091,0.0191227280275053,-0.00915139020619097,0.0278248627627069,-0.0278059864205991,-0.0122905199215716,-0.00838461313709489,-0.00277475895967852,0.0137478490844115,0.00793953720441743,0.0292425530364203,-0.013771095619537,0.0388466295001023,0.0511091174082953,0.0404619150649543,0.00772869294356259,0.0336875728757577,0,0.0102482422368479,0.00195498055795069,-0.0193720057654895,-0.000717611265486083,-0.0104516152445691
"Tars",-0.0330483543912674,-0.0349865000291183,-0.0251928323744111,0.0177402251022122,-0.0188482286934345,-0.0297829275546289,-0.00140765313540353,0.0108078922783937,0.00148921638164122,-0.0400096396675317,0.0140256473037075,0.0187926288098686,0.0108764887784834,-0.0254086223081282,-0.00363935628319755,0.0344190339208837,0.0357214872467926,-0.0661713467707005,0.0346942599337412,0.036532878280753,0.0337040750245879,0.00574111114020748,0.0203289428210481,0.014347103807396,0.0323365272020495,0.0174048144388202,0.0102482422368479,0,-0.00505855891393581,-0.0348902736745672,0.00305397051969817,0.00853920727260882
"Tbr1",-0.00439491881886137,0.00884616737697913,0.0621414205726595,-0.0108080495477063,0.0186051583757897,0.0809166396424122,-0.0981784406574987,-0.0268869578062892,-0.0309115731675635,3.00852289661907e-05,-0.137605212512303,-0.118960899431639,0.139339430475722,0.0093541796985916,0.0529896766894629,-0.0067717546967701,-0.0637585528275738,0.0311288137996063,-0.0886074276716438,-0.011443434994783,-0.0393437407279534,-0.153221770439435,-0.0661149123876651,-0.078101155958744,0.0379745686020161,0.00966568584596217,0.00195498055795069,-0.00505855891393581,0,0.11805771797358,-0.199216411941655,0.0730629823647519
"Tubb3",0.339737467697204,0.0175784885757149,0.483570641136112,0.0411387682677455,-0.047397069778621,0.514512257022244,-0.113448241521467,-0.247967787770289,-0.057460875358566,0.0065601990914724,-0.60069766404983,-0.537163903145209,0.40166975835852,-0.0225230936444975,0.194573423773515,0.191704951217228,-0.314750311061386,0.295098788444527,-0.485686173531993,-0.538691704673207,-0.270112674616878,-0.333667138806624,-0.267186977114887,-0.475087470544549,-0.330433868429608,-0.047950341287832,-0.0193720057654895,-0.0348902736745672,0.11805771797358,0,-0.562505033462603,-0.0400206424367138
"Vim",-0.193994823994908,0.00472457734171456,-0.307885400336849,-0.0333007700860514,0.0349994655847544,-0.35897361406798,0.172605548151387,0.193927598972447,0.0434690538691986,0.0150747685216696,0.45101916480739,0.440457366499382,-0.293437932355152,0.0330188491485833,-0.126669619110841,-0.140096146310277,0.233909681259196,-0.123100716891918,0.413009011561523,0.436193118450936,0.226597057038524,0.255733472474835,0.203955909588033,0.374334040204551,0.157561712280807,0.0018086488161096,-0.000717611265486083,0.00305397051969817,-0.199216411941655,-0.562505033462603,0,-0.000891191959485481
"Zfr",-0.0195817824022804,0.0255615944806898,-0.0490889855210349,-0.00875965478386625,0.0611532702182321,0.0108725949999832,-0.0113583016042853,0.0510379784881685,-0.0143720542795881,-0.0351841866465128,0.0589661916569233,0.0519506121916466,0.0156616583298923,-0.000903638573483624,0.0565543104627032,0.00991962984865383,0.0102045436814471,-0.053812291536742,0.0307487877144225,0.0377111608160535,0.0496727582109156,-0.0684604077148545,0.0404356726978666,0.0822244531238058,0.0806728051192514,0.0106855126296234,-0.0104516152445691,0.00853920727260882,0.0730629823647519,-0.0400206424367138,-0.000891191959485481,0
